#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Replicons,Scaffolds,Release Date
"Phaeobacter gallaeciensis","Bacteria;Proteobacteria;Alphaproteobacteria","P128","SAMN06834800","PRJNA384319","GCA_002381365.1","Complete","chromosome:NZ_CP021047.1/CP021047.1; plasmid pP128_a:NZ_CP021048.1/CP021048.1; plasmid pP128_b:NZ_CP021049.1/CP021049.1; plasmid pP128_c:NZ_CP021050.1/CP021050.1; plasmid pP128_d:NZ_CP021051.1/CP021051.1; plasmid pP128_e:NZ_CP021052.1/CP021052.1",6,"2017-09-27T00:00:00Z"
"Octadecabacter antarcticus 307","Bacteria;Proteobacteria;Alphaproteobacteria","307","SAMN02603621","PRJNA19333","GCA_000155675.2","Complete","chromosome:NC_020911.1/CP003740.1; plasmid pOA307_63:NC_020907.1/CP003741.1",2,"2013-04-08T00:00:00Z"
"Burkholderia oklahomensis C6786","Bacteria;Proteobacteria;Betaproteobacteria","C6786","SAMN03075637","PRJNA238548","GCA_000959365.1","Complete","chromosome I:NZ_CP009555.1/CP009555.1; chromosome II:NZ_CP009556.1/CP009556.1",2,"2015-03-20T00:00:00Z"
"Clostridium botulinum","Bacteria;Terrabacteria group;Firmicutes","DFPST0029","SAMN03780372","PRJNA290487","GCA_003058345.1","Complete","chromosome:NZ_CP028842.1/CP028842.1",1,"2018-04-21T00:00:00Z"
"Burkholderia multivorans ATCC BAA-247","Bacteria;Proteobacteria;Betaproteobacteria","ATCC BAA-247","SAMN03140189","PRJNA264318","GCA_000959525.1","Complete","chromosome 1:NZ_CP009832.1/CP009832.1; chromosome 2:NZ_CP009831.1/CP009831.1; chromosome 3:NZ_CP009830.1/CP009830.1",3,"2015-03-20T00:00:00Z"
"Ochrobactrum anthropi","Bacteria;Proteobacteria;Alphaproteobacteria","PBO","SAMN16619790","PRJNA673670","GCA_015326295.1","Complete","chromosome 1:NZ_CP064062.1/CP064062.1; chromosome 2:NZ_CP064063.1/CP064063.1; plasmid p1:NZ_CP064064.1/CP064064.1",3,"2020-11-10T00:00:00Z"
"Rickettsia prowazekii str. Chernikova","Bacteria;Proteobacteria;Alphaproteobacteria","Chernikova","SAMN02603542","PRJNA74999","GCA_000277165.1","Complete","chromosome:NC_017049.1/CP003391.1",1,"2012-03-21T00:00:00Z"
"Anaeromyxobacter dehalogenans 2CP-1","Bacteria;Proteobacteria;delta/epsilon subdivisions","2CP-1","SAMN00000050","PRJNA20095","GCA_000022145.1","Complete","chromosome:NC_011891.1/CP001359.1",1,"2009-01-12T00:00:00Z"
"Clavibacter michiganensis subsp. michiganensis","Bacteria;Terrabacteria group;Actinobacteria","UF1","SAMN10388396","PRJNA504046","GCA_009739655.1","Complete","chromosome:NZ_CP033724.1/CP033724.1; plasmid pCM1-UF1:NZ_CP033725.1/CP033725.1; plasmid pCM2U-F1:NZ_CP033726.1/CP033726.1",3,"2019-12-11T00:00:00Z"
"Brucella canis ATCC 23365","Bacteria;Proteobacteria;Alphaproteobacteria","ATCC 23365","SAMN02604295","PRJNA20243","GCA_000018525.1","Complete","chromosome I:NC_010103.1/CP000872.1; chromosome II:NC_010104.1/CP000873.1",2,"2007-11-29T00:00:00Z"
"Mycobacterium marinum E11","Bacteria;Terrabacteria group;Actinobacteria","E11","SAMEA3139029","PRJEB5070","GCA_000723425.2","Complete","chromosome 1:NZ_HG917972.2/HG917972.2; plasmid pRAW:NZ_HG917973.1/HG917973.1",2,"2014-05-27T00:00:00Z"
"Brucella suis 1330","Bacteria;Proteobacteria;Alphaproteobacteria","1330","SAMN02603682","PRJNA320","GCA_000007505.1","Complete","chromosome I:NC_004310.3/AE014291.4; chromosome II:NC_004311.2/AE014292.2",2,"2002-09-30T00:00:00Z"
"Bifidobacterium dentium JCM 1195 = DSM 20436","Bacteria;Terrabacteria group;Actinobacteria","JCM 1195","SAMD00061043","PRJDB59","GCA_001042595.1","Complete","chromosome Unknown:NZ_AP012326.1/AP012326.1",1,"2015-02-17T00:00:00Z"
"Bradyrhizobium japonicum USDA 6","Bacteria;Proteobacteria;Alphaproteobacteria","USDA 6","SAMD00060992","PRJDA67463","GCA_000284375.1","Complete","chromosome:NC_017249.1/AP012206.1",1,"2011-10-31T23:11:00Z"
"Klebsiella pneumoniae subsp. pneumoniae HS11286","Bacteria;Proteobacteria;Gammaproteobacteria","HS11286","SAMN02602959","PRJNA78789","GCA_000240185.2","Complete","chromosome:NC_016845.1/CP003200.1; plasmid pKPHS1:NC_016838.1/CP003223.1; plasmid pKPHS2:NC_016846.1/CP003224.1; plasmid pKPHS3:NC_016839.1/CP003225.1; plasmid pKPHS4:NC_016840.1/CP003226.1; plasmid pKPHS5:NC_016847.1/CP003227.1; plasmid pKPHS6:NC_016841.1/CP003228.1",7,"2011-12-21T00:00:00Z"
"Microcystis aeruginosa NIES-843","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","NIES-843","SAMD00060936","PRJDA27835","GCA_000010625.1","Complete","chromosome:NC_010296.1/AP009552.1",1,"2008-01-24T23:06:00Z"
"Streptococcus dysgalactiae","Bacteria;Terrabacteria group;Firmicutes","NCTC6403","SAMEA3649039","PRJEB6403","GCA_901543725.1","Complete","chromosome 1:NZ_LR594046.1/LR594046.1",1,"2019-05-17T00:00:00Z"
"Rhizobium etli","Bacteria;Proteobacteria;Alphaproteobacteria","NXC12","SAMN06767430","PRJNA383588","GCA_002119845.1","Complete","chromosome:NZ_CP020906.1/CP020906.1; plasmid pRetNXC12a:NZ_CP020907.1/CP020907.1; plasmid pRetNXC12b:NZ_CP020908.1/CP020908.1; plasmid pRetNXC12c:NZ_CP020909.1/CP020909.1; plasmid pRetNXC12d:NZ_CP020910.1/CP020910.1; plasmid pRetNXC12e:NZ_CP020911.1/CP020911.1",6,"2017-05-09T00:00:00Z"
"Chromohalobacter salexigens DSM 3043","Bacteria;Proteobacteria;Gammaproteobacteria","DSM 3043","SAMN02598275","PRJNA12636","GCA_000055785.1","Complete","chromosome:NC_007963.1/CP000285.1",1,"2006-04-11T00:00:00Z"
"Bartonella tribocorum CIP 105476","Bacteria;Proteobacteria;Alphaproteobacteria","type strain:506 = CIP 105476","SAMEA3138339","PRJNA28109","GCA_000196435.1","Complete","chromosome:NC_010161.1/AM260525.1; plasmid pBT01:NC_010160.1/AM260524.1",2,"2007-11-25T00:00:00Z"
"Hungateiclostridium thermocellum DSM 2360","Bacteria;Terrabacteria group;Firmicutes","LQRI","SAMN05210905","PRJNA324615","GCA_001692755.1","Complete","chromosome:NZ_CP016502.1/CP016502.1",1,"2016-07-22T00:00:00Z"
"Streptomyces clavuligerus","Bacteria;Terrabacteria group;Actinobacteria","F1D7","SAMN16862539","PRJNA679926","GCA_015767775.1","Complete","chromosome:NZ_CP065253.1/CP065253.1; plasmid pF1D7A:NZ_CP065254.1/CP065254.1",2,"2020-12-06T00:00:00Z"
"Borreliella garinii BgVir","Bacteria;Spirochaetes;Spirochaetia","BgVir","SAMN02603389","PRJNA72847","GCA_000239475.1","Complete","chromosome linear:NC_017717.1/CP003151.1; plasmid cp26:NC_017725.1/CP003201.1; plasmid lp54:NC_017804.1/CP003202.1",3,"2011-12-22T00:00:00Z"
"Chlamydia psittaci 6BC","Bacteria;PVC group;Chlamydiae","6BC","SAMN02603382","PRJNA62889","GCA_000204255.1","Complete","chromosome:NC_017287.1/CP002586.1; plasmid pCps6BC:NC_017288.1/CP002587.1",2,"2011-04-14T00:00:00Z"
"Bacillus amyloliquefaciens","Bacteria;Terrabacteria group;Firmicutes","WF02","SAMN14897115","PRJNA631938","GCA_013122255.1","Complete","chromosome:NZ_CP053376.1/CP053376.1",1,"2020-05-19T00:00:00Z"
"Streptococcus mutans","Bacteria;Terrabacteria group;Firmicutes","NG8","SAMN04155244","PRJNA298029","GCA_001558215.1","Complete","chromosome:NZ_CP013237.1/CP013237.1",1,"2016-02-11T00:00:00Z"
"Neisseria gonorrhoeae","Bacteria;Proteobacteria;Betaproteobacteria","35/02","SAMN03459417","PRJNA278367","GCA_001047275.1","Complete","chromosome:NZ_CP012028.1/CP012028.1",1,"2015-07-07T00:00:00Z"
"Enterococcus faecium","Bacteria;Terrabacteria group;Firmicutes","ZY2","SAMN10867605","PRJNA520784","GCA_010120755.1","Complete","chromosome:NZ_CP039729.1/CP039729.1; plasmid pZY2:NZ_CP039730.1/CP039730.1",2,"2020-02-03T00:00:00Z"
"Stenotrophomonas maltophilia","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC10258","SAMEA3856672","PRJEB6403","GCA_900475405.1","Complete","chromosome 1:NZ_LS483377.1/LS483377.1",1,"2018-06-17T00:00:00Z"
"Micrococcus luteus NCTC 2665","Bacteria;Terrabacteria group;Actinobacteria","NCTC 2665","SAMN00000281","PRJNA20655","GCA_000023205.1","Complete","chromosome:NC_012803.1/CP001628.1",1,"2009-06-12T00:00:00Z"
"Streptococcus equi subsp. zooepidemicus","Bacteria;Terrabacteria group;Firmicutes","H70","SAMEA2272197","PRJEA30767","GCA_000026605.1","Complete","chromosome:NC_012470.1/FM204884.1",1,"2009-03-26T00:00:00Z"
"Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821","Bacteria;Proteobacteria;Alphaproteobacteria","ZM4","SAMN02603579","PRJNA12354","GCA_000007105.1","Complete","chromosome:NC_006526.2/AE008692.2",1,"2004-12-10T00:00:00Z"
"Glaesserella parasuis SH0165","Bacteria;Proteobacteria;Gammaproteobacteria","SH0165","SAMN02603313","PRJNA31099","GCA_000021885.1","Complete","chromosome:NC_011852.1/CP001321.1",1,"2009-01-07T00:00:00Z"
"Mycobacterium leprae","Bacteria;Terrabacteria group;Actinobacteria","MRHRU-235-G","SAMN09104579","PRJNA470766","GCA_003253775.1","Complete","chromosome:NZ_CP029543.1/CP029543.1",1,"2018-06-18T00:00:00Z"
"Acetobacter pasteurianus 386B","Bacteria;Proteobacteria;Alphaproteobacteria","386B","SAMEA3139047","PRJEB1172","GCA_000723785.1","Complete","chromosome:NC_021991.1/HF677570.1; plasmid Apa386Bp1:NC_021976.1/HF677571.1; plasmid Apa386Bp2:NZ_HF677572.1/HF677572.1; plasmid Apa386Bp3:NC_021992.1/HF677573.1; plasmid Apa386Bp4:NC_021977.1/HF677574.1; plasmid Apa386Bp5:NC_021993.1/HF677575.1; plasmid Apa386Bp6:NC_021978.1/HF677576.1; plasmid Apa386Bp7:NC_021979.1/HF677577.1",8,"2013-08-01T00:00:00Z"
"Pasteurella multocida","Bacteria;Proteobacteria;Gammaproteobacteria","20N","SAMN08912474","PRJNA431924","GCA_003061265.1","Complete","chromosome:NZ_CP028926.1/CP028926.1",1,"2018-04-23T00:00:00Z"
"Francisella philomiragia","Bacteria;Proteobacteria;Gammaproteobacteria","O#319-036 [FSC 153]","SAMN03024268","PRJNA260383","GCA_000833295.1","Complete","chromosome:NZ_CP009442.1/CP009442.1; plasmid pFPJ_1:NZ_CP009443.1/CP009443.1",2,"2015-02-06T00:00:00Z"
"Thermomicrobium roseum DSM 5159","Bacteria;Terrabacteria group;Chloroflexi","DSM 5159","SAMN02603430","PRJNA32569","GCA_000021685.1","Complete","chromosome:NC_011959.1/CP001275.1; plasmid unnamed:NC_011961.1/CP001276.1",2,"2009-01-22T00:00:00Z"
"Brucella ceti TE10759-12","Bacteria;Proteobacteria;Alphaproteobacteria","TE10759-12","SAMN02402452","PRJNA227977","GCA_000590795.1","Complete","chromosome 1:CP006896.1; chromosome I:NC_022905.1/; chromosome 2:CP006897.1; chromosome II:NC_022906.1/",2,"2013-11-25T00:00:00Z"
"Enterococcus casseliflavus EC20","Bacteria;Terrabacteria group;Firmicutes","EC20","SAMN02596921","PRJNA32935","GCA_000157355.2","Complete","chromosome:NC_020995.1/CP004856.1",1,"2013-04-11T00:00:00Z"
"Caulobacter vibrioides NA1000","Bacteria;Proteobacteria;Alphaproteobacteria","NA1000","SAMN02604151","PRJNA32027","GCA_000022005.1","Complete","chromosome:NC_011916.1/CP001340.1",1,"2009-01-16T00:00:00Z"
"Brucella melitensis bv. 1 str. 16M","Bacteria;Proteobacteria;Alphaproteobacteria","16M","SAMN02603416","PRJNA180","GCA_000007125.1","Complete","chromosome I:NC_003317.1/AE008917.1; chromosome II:NC_003318.1/AE008918.1",2,"2001-11-13T00:00:00Z"
"Dickeya dadantii 3937","Bacteria;Proteobacteria;Gammaproteobacteria","3937","SAMN02603422","PRJNA30","GCA_000147055.1","Complete","chromosome:NC_014500.1/CP002038.1",1,"2010-09-10T00:00:00Z"
"Priestia megaterium","Bacteria;Terrabacteria group;Firmicutes","BHS1","SAMN15168978","PRJNA637885","GCA_015582655.1","Complete","chromosome:NZ_CP058255.1/CP058255.1",1,"2020-11-18T00:00:00Z"
"Burkholderia glumae","Bacteria;Proteobacteria;Betaproteobacteria","257sh-1","SAMN10913710","PRJNA521805","GCA_009931375.1","Complete","chromosome 1:NZ_CP035900.1/CP035900.1; chromosome 2:NZ_CP035901.1/CP035901.1; plasmid plas1:NZ_CP035902.1/CP035902.1; plasmid plas2:NZ_CP035903.1/CP035903.1",4,"2020-01-27T00:00:00Z"
"Clostridium sporogenes","Bacteria;Terrabacteria group;Firmicutes","DSM 795","SAMN03742637","PRJNA285281","GCA_001020205.1","Complete","chromosome:NZ_CP011663.1/CP011663.1",1,"2015-06-05T00:00:00Z"
"Providencia stuartii MRSN 2154","Bacteria;Proteobacteria;Gammaproteobacteria","MRSN 2154","SAMN02604304","PRJNA88059","GCA_000259175.1","Complete","chromosome:NC_017731.1/CP003488.1",1,"2012-04-18T00:00:00Z"
"Parvimonas micra","Bacteria;Terrabacteria group;Firmicutes","KCOM 1535; ChDC B708","SAMN03135876","PRJNA264589","GCA_000800295.1","Complete","chromosome:NZ_CP009761.1/CP009761.1",1,"2014-12-09T00:00:00Z"
"[Clostridium] scindens ATCC 35704","Bacteria;Terrabacteria group;Firmicutes","ATCC 35704","SAMN10519000","PRJNA508260","GCA_004295125.1","Complete","chromosome:NZ_CP036170.1/CP036170.1",1,"2019-02-25T00:00:00Z"
"[Ruminococcus] gnavus ATCC 29149","Bacteria;Terrabacteria group;Firmicutes","ATCC 29149","SAMN08398974","PRJNA431711","GCA_009831375.1","Complete","chromosome:NZ_CP027002.1/CP027002.1",1,"2020-01-06T00:00:00Z"
"Anaerostipes caccae","Bacteria;Terrabacteria group;Firmicutes","DSM 14662","SAMN10972980","PRJNA523317","GCA_014131675.1","Complete","chromosome:NZ_CP036345.1/CP036345.1",1,"2020-08-10T00:00:00Z"
"Enterocloster bolteae","Bacteria;Terrabacteria group;Firmicutes","ATCC BAA-613","SAMN07340702","PRJNA393727","GCA_002234575.2","Complete","chromosome:NZ_CP022464.2/CP022464.2; plasmid unnamed:NZ_CP022465.2/CP022465.2",2,"2017-07-27T00:00:00Z"
"Bacteroides ovatus","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 8483","SAMN03852683","PRJNA289334","GCA_001314995.1","Complete","chromosome:NZ_CP012938.1/CP012938.1",1,"2015-10-15T00:00:00Z"
"Treponema denticola ATCC 35405","Bacteria;Spirochaetes;Spirochaetia","ATCC 35405","SAMN02603967","PRJNA4","GCA_000008185.1","Complete","chromosome:NC_002967.9/AE017226.1",1,"2002-02-14T00:00:00Z"
"Azotobacter vinelandii DJ","Bacteria;Proteobacteria;Gammaproteobacteria","DJ; ATCC BAA-1303","SAMN02604349","PRJNA16","GCA_000021045.1","Complete","chromosome:NC_012560.1/CP001157.1",1,"2009-04-14T00:00:00Z"
"Sinorhizobium meliloti 2011","Bacteria;Proteobacteria;Alphaproteobacteria","2011","SAMN02603522","PRJNA187276","GCA_000346065.1","Complete","chromosome:NC_020528.1/CP004140.1; plasmid pSymA:NC_020527.1/CP004138.1; plasmid pSymB:NC_020560.1/CP004139.1",3,"2013-03-08T00:00:00Z"
"Methylococcus capsulatus str. Bath","Bacteria;Proteobacteria;Gammaproteobacteria","Bath","SAMN02603968","PRJNA21","GCA_000008325.1","Complete","chromosome:NC_002977.6/AE017282.2",1,"2001-06-25T00:00:00Z"
"Bordetella bronchiseptica","Bacteria;Proteobacteria;Betaproteobacteria","NCTC10543","SAMEA3893452","PRJEB6403","GCA_900636925.1","Complete","chromosome 1:NZ_LR134326.1/LR134326.1",1,"2018-12-19T00:00:00Z"
"Bordetella parapertussis","Bacteria;Proteobacteria;Betaproteobacteria","Bpp01","SAMD00146597","PRJDB7578","GCA_004323615.1","Complete","chromosome:NZ_AP019378.1/AP019378.1",1,"2018-12-28T00:00:00Z"
"Bordetella pertussis 18323","Bacteria;Proteobacteria;Betaproteobacteria","18323","SAMEA2272749","PRJEB144","GCA_000306945.1","Complete","chromosome:NC_018518.1/HE965805.1",1,"2012-08-20T00:00:00Z"
"[Haemophilus] ducreyi","Bacteria;Proteobacteria;Gammaproteobacteria","VAN2","SAMN04632440","PRJNA318024","GCA_001647695.1","Complete","chromosome:NZ_CP015425.1/CP015425.1",1,"2016-05-19T00:00:00Z"
"Dichelobacter nodosus VCS1703A","Bacteria;Proteobacteria;Gammaproteobacteria","VCS1703A","SAMN02603972","PRJNA50","GCA_000015345.1","Complete","chromosome:NC_009446.1/CP000513.1",1,"2007-05-04T00:00:00Z"
"Rickettsia conorii str. Malish 7","Bacteria;Proteobacteria;Alphaproteobacteria","Malish 7","SAMN02603141","PRJNA42","GCA_000007025.1","Complete","chromosome:NC_003103.1/AE006914.1",1,"2001-10-03T00:00:00Z"
"Nitrosomonas europaea ATCC 19718","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 19718","SAMEA3138193","PRJNA52","GCA_000009145.1","Complete","chromosome:NC_004757.1/AL954747.1",1,"2003-04-24T00:00:00Z"
"Acidithiobacillus ferrooxidans ATCC 23270","Bacteria;Proteobacteria;Acidithiobacillia","ATCC 23270","SAMN02603974","PRJNA53","GCA_000021485.1","Complete","chromosome:NC_011761.1/CP001219.1",1,"2008-12-19T00:00:00Z"
"Cytophaga hutchinsonii ATCC 33406","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 33406","SAMN02598536","PRJNA54","GCA_000014145.1","Complete","chromosome:NC_008255.1/CP000383.1",1,"2006-07-11T00:00:00Z"
"Rhodospirillum rubrum F11","Bacteria;Proteobacteria;Alphaproteobacteria","F11","SAMN02603286","PRJNA67413","GCA_000225955.1","Complete","chromosome:NC_017584.1/CP003046.1",1,"2011-09-15T00:00:00Z"
"Chloroflexus aurantiacus Y-400-fl","Bacteria;Terrabacteria group;Chloroflexi","Y-400-fl","SAMN02598448","PRJNA21119","GCA_000022185.1","Complete","chromosome:NC_012032.1/CP001364.1",1,"2009-02-04T00:00:00Z"
"Ruminococcus albus 7 = DSM 20455","Bacteria;Terrabacteria group;Firmicutes","7","SAMN00016988","PRJNA42255","GCA_000179635.2","Complete","chromosome:NC_014833.1/CP002403.1; plasmid pRUMAL01:NC_014824.1/CP002404.1; plasmid pRUMAL02:NC_014825.1/CP002405.1; plasmid pRUMAL03:NC_014826.1/CP002406.1; plasmid pRUMAL04:NC_014827.1/CP002407.1",5,"2010-12-23T00:00:00Z"
"Deinococcus radiodurans","Bacteria;Terrabacteria group;Deinococcus-Thermus","R1 dM1","SAMN09743852","PRJNA483812","GCA_008329785.1","Complete","chromosome I:NZ_CP031500.1/CP031500.1; chromosome II:NZ_CP031501.1/CP031501.1; plasmid pMP1:NZ_CP031502.1/CP031502.1; plasmid pSP1:NZ_CP031503.1/CP031503.1",4,"2019-09-09T00:00:00Z"
"Streptococcus gordonii","Bacteria;Terrabacteria group;Firmicutes","NCTC10231","SAMEA3662936","PRJEB6403","GCA_901544385.1","Complete","chromosome 1:NZ_LR594049.1/LR594049.1",1,"2019-05-17T00:00:00Z"
"Clostridium acetobutylicum DSM 1731","Bacteria;Terrabacteria group;Firmicutes","DSM 1731","SAMN02603396","PRJNA63241","GCA_000218855.1","Complete","chromosome:NC_015687.1/CP002660.1; plasmid pSMBa:NC_015686.1/CP002661.1; plasmid pSMBb:NC_015688.1/CP002662.1",3,"2011-06-17T00:00:00Z"
"Lactobacillus gasseri ATCC 33323 = JCM 1131","Bacteria;Terrabacteria group;Firmicutes","ATCC 33323","SAMN02598542","PRJNA84","GCA_000014425.1","Complete","chromosome:NC_008530.1/CP000413.1",1,"2006-10-13T00:00:00Z"
"Corynebacterium diphtheriae","Bacteria;Terrabacteria group;Actinobacteria","NCTC11397","SAMEA2517360","PRJEB6403","GCA_001457455.1","Complete","chromosome 1:NZ_LN831026.1/LN831026.1",1,"2015-03-22T00:00:00Z"
"Mycolicibacterium smegmatis","Bacteria;Terrabacteria group;Actinobacteria","NCTC8159","SAMEA2517361","PRJEB6403","GCA_001457595.1","Complete","chromosome 1:NZ_LN831039.1/LN831039.1",1,"2015-03-22T00:00:00Z"
"Thermobifida fusca YX","Bacteria;Terrabacteria group;Actinobacteria","YX","SAMN02598543","PRJNA94","GCA_000012405.1","Complete","chromosome:NC_007333.1/CP000088.1",1,"2005-08-08T00:00:00Z"
"Mycoplasma pneumoniae FH","Bacteria;Terrabacteria group;Tenericutes","FH","SAMN03284384","PRJNA182276","GCA_001272835.1","Complete","chromosome:NZ_CP010546.1/CP010546.1",1,"2015-08-21T00:00:00Z"
"Mycoplasma pulmonis UAB CTIP","Bacteria;Terrabacteria group;Tenericutes","UAB CTIP","SAMEA3138324","PRJNA100","GCA_000195875.1","Complete","chromosome:NC_002771.1/AL445566.1",1,"2001-10-02T00:00:00Z"
"Thermotoga maritima MSB8","Bacteria;Thermotogae;Thermotogae","MSB8","SAMN02261406","PRJNA63051","GCA_000230655.3","Complete","chromosome:NC_023151.1/CP007013.1",1,"2013-12-20T00:00:00Z"
"Mycoplasma penetrans HF-2","Bacteria;Terrabacteria group;Tenericutes","HF-2","SAMD00061084","PRJNA176","GCA_000011225.1","Complete","chromosome:NC_004432.1/BA000026.2",1,"2002-12-10T00:00:00Z"
"Geobacter metallireducens GS-15","Bacteria;Proteobacteria;delta/epsilon subdivisions","GS-15","SAMN02598399","PRJNA177","GCA_000012925.1","Complete","chromosome:NC_007517.1/CP000148.1; plasmid unnamed:NC_007515.1/CP000149.1",2,"2005-10-27T00:00:00Z"
"Streptomyces avermitilis MA-4680 = NBRC 14893","Bacteria;Terrabacteria group;Actinobacteria","MA-4680","SAMD00061088","PRJNA189","GCA_000009765.2","Complete","chromosome:NC_003155.5/BA000030.4; plasmid SAP1:NC_004719.1/AP005645.1",2,"2001-10-15T00:00:00Z"
"Yersinia enterocolitica","Bacteria;Proteobacteria;Gammaproteobacteria","FORC_002","SAMN03434891","PRJNA279015","GCA_000987925.1","Complete","chromosome:NZ_CP011118.1/CP011118.1; plasmid pFORC2:NZ_CP011119.1/CP011119.1",2,"2015-05-05T00:00:00Z"
"Geobacter sulfurreducens PCA","Bacteria;Proteobacteria;delta/epsilon subdivisions","PCA","SAMN02603989","PRJNA192","GCA_000007985.2","Complete","chromosome:NC_002939.5/AE017180.2",1,"2002-02-14T00:00:00Z"
"Spiroplasma kunkelii CR2-3x","Bacteria;Terrabacteria group;Tenericutes","CR2-3x","SAMN03269975","PRJNA270865","GCA_001274875.1","Complete","chromosome:NZ_CP010899.1/CP010899.1; plasmid pSKU205:NZ_CP012424.1/CP012424.1; plasmid pSKU226:NZ_CP012423.1/CP012423.1; plasmid pSKU76:NZ_CP012425.1/CP012425.1",4,"2015-08-26T00:00:00Z"
"Novosphingobium aromaticivorans DSM 12444","Bacteria;Proteobacteria;Alphaproteobacteria","DSM 12444","SAMN02598432","PRJNA204","GCA_000013325.1","Complete","chromosome:NC_007794.1/CP000248.1; plasmid pNL1:NC_009426.1/CP000676.1; plasmid pNL2:NC_009427.1/CP000677.1",3,"2006-02-10T00:00:00Z"
"Dehalococcoides mccartyi CG4","Bacteria;Terrabacteria group;Chloroflexi","CG4","SAMN02444486","PRJNA230429","GCA_000830905.1","Complete","chromosome:NZ_CP006950.1/CP006950.1",1,"2014-08-04T00:00:00Z"
"Aquifex aeolicus VF5","Bacteria;Aquificae;Aquificae","VF5","SAMN02603207","PRJNA215","GCA_000008625.1","Complete","chromosome:NC_000918.1/AE000657.1; plasmid ece1:NC_001880.1/AE000667.1",2,"1997-07-25T00:00:00Z"
"Nostoc punctiforme PCC 73102","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","ATCC 29133; PCC 73102","SAMN02598449","PRJNA216","GCA_000020025.1","Complete","chromosome:NC_010628.1/CP001037.1; plasmid pNPUN01:NC_010631.1/CP001038.1; plasmid pNPUN02:NC_010632.1/CP001039.1; plasmid pNPUN03:NC_010630.1/CP001040.1; plasmid pNPUN04:NC_010633.1/CP001041.1; plasmid pNPUN05:NC_010629.1/CP001042.1",6,"2008-04-24T00:00:00Z"
